	id	name	energy	duration_ms	track_href	album_image
97	3zkWCteF82vJwv0hRLba76	Stitches	0.754	206880.0	https://api.spotify.com/v1/tracks/3zkWCteF82vJwv0hRLba76	https://i.scdn.co/image/ab67616d0000b27375bd5306fb4669a15ee74eff
98	4kflIGfjdZJW4ot2ioixTB	Someone Like You	0.33	285040.0	https://api.spotify.com/v1/tracks/4kflIGfjdZJW4ot2ioixTB	https://i.scdn.co/image/ab67616d0000b2736d4056466fc11f6408be2566
99	5QDLhrAOJJdNAmCTJ8xMyW	Dynamite	0.765	199054.0	https://api.spotify.com/v1/tracks/5QDLhrAOJJdNAmCTJ8xMyW	https://i.scdn.co/image/ab67616d0000b273c07d5d2fdc02ae252fcd07e5
100	0nbXyq5TXYPCO7pr3N8S4I	The Box	0.586	196653.0	https://api.spotify.com/v1/tracks/0nbXyq5TXYPCO7pr3N8S4I	https://i.scdn.co/image/ab67616d0000b273600adbc750285ea1a8da249f
101	0JP9xo3adEtGSdUEISiszL	Moonlight	0.537	135090.0	https://api.spotify.com/v1/tracks/0JP9xo3adEtGSdUEISiszL	https://i.scdn.co/image/ab67616d0000b273806c160566580d6335d1f16c
102	4jPy3l0RUwlUI9T5XHBW2m	Mood (feat. iann dior)	0.716	140533.0	https://api.spotify.com/v1/tracks/4jPy3l0RUwlUI9T5XHBW2m	https://i.scdn.co/image/ab67616d0000b27384c53fa832dfa265192419c5
103	5kqIPrATaCc2LqxVWzQGbk	7 Years	0.473	237300.0	https://api.spotify.com/v1/tracks/5kqIPrATaCc2LqxVWzQGbk	https://i.scdn.co/image/ab67616d0000b2732d94d0f04e9a58d1654b760b
104	2gMXnyrvIjhVBUZwvLZDMP	Before You Go	0.575	215107.0	https://api.spotify.com/v1/tracks/2gMXnyrvIjhVBUZwvLZDMP	https://i.scdn.co/image/ab67616d0000b2737b9639babbe96e25071ec1d4
105	0hVXuCcriWRGvwMV1r5Yn9	I Don't Care (with Justin Bieber)	0.676	219947.0	https://api.spotify.com/v1/tracks/0hVXuCcriWRGvwMV1r5Yn9	https://i.scdn.co/image/ab67616d0000b27373304ce0653c7758dd94b259
106	7wqSzGeodspE3V6RBD5W8L	See You Again (feat. Charlie Puth)	0.481	229526.0	https://api.spotify.com/v1/tracks/7wqSzGeodspE3V6RBD5W8L	https://i.scdn.co/image/ab67616d0000b273916d2308473f0c00c3470b19
107	5XeFesFbtLpXzIVDNQP22n	I Wanna Be Yours	0.417	183956.0	https://api.spotify.com/v1/tracks/5XeFesFbtLpXzIVDNQP22n	https://i.scdn.co/image/ab67616d0000b2734ae1c4c5c45aabe565499163
108	0fioLzGM8ngbD1w6fMmm45	I'm Not The Only One	0.496	239317.0	https://api.spotify.com/v1/tracks/0fioLzGM8ngbD1w6fMmm45	https://i.scdn.co/image/ab67616d0000b2734fb7193968e58e51c3db3ef4
109	1EzrEOXmMH3G43AXT1y7pA	I'm Yours	0.444	242947.0	https://api.spotify.com/v1/tracks/1EzrEOXmMH3G43AXT1y7pA	https://i.scdn.co/image/ab67616d0000b273125b1a330b6f6100ab19dbed
110	4bHsxqR3GMrXTxEPLuK5ue	Don't Stop Believin'	0.748	250987.0	https://api.spotify.com/v1/tracks/4bHsxqR3GMrXTxEPLuK5ue	https://i.scdn.co/image/ab67616d0000b273c5653f9038e42efad2f8a266
111	75JFxkI2RXiU7L9VXzMkle	The Scientist	0.442	309600.0	https://api.spotify.com/v1/tracks/75JFxkI2RXiU7L9VXzMkle	https://i.scdn.co/image/ab67616d0000b273de09e02aa7febf30b7c02d82
112	6rPO02ozF3bM7NnOV4h6s2	Despacito - Remix	0.816	228827.0	https://api.spotify.com/v1/tracks/6rPO02ozF3bM7NnOV4h6s2	https://i.scdn.co/image/ab67616d0000b273a6a335d613d151c626895a83
113	0KKkJNfGyhkQ5aFogxQAPU	That's What I Like	0.56	206693.0	https://api.spotify.com/v1/tracks/0KKkJNfGyhkQ5aFogxQAPU	https://i.scdn.co/image/ab67616d0000b273232711f7d66a1e19e89e28c5
114	27SdWb2rFzO6GWiYDBTD9j	Cheap Thrills	0.698	211667.0	https://api.spotify.com/v1/tracks/27SdWb2rFzO6GWiYDBTD9j	https://i.scdn.co/image/ab67616d0000b27349e0134c686547c28b7c999f
115	1qCdYQdkWvm4cYXAuOlbyc	Locked out of Heaven	0.698	233478.0	https://api.spotify.com/v1/tracks/1qCdYQdkWvm4cYXAuOlbyc	https://i.scdn.co/image/ab67616d0000b2734afbeec18f65c3707207b7c9
116	4DHcnVTT87F0zZhRPYmZ3B	Flowers	0.681	200455.0	https://api.spotify.com/v1/tracks/4DHcnVTT87F0zZhRPYmZ3B	https://i.scdn.co/image/ab67616d0000b27358039b5147731b6e52202e46
